id	name	country	bday
1312	Richard Gansterer 	Austria	1986-07-20
1313	Maciej Jaku 	Poland	
1314	Kyle Mooren 	Netherlands	1989-01-21
1315	Marcin Bogusz 	Poland	1989-03-16
1316	Jeffrey Debipersad 	Netherlands	1987-09-19
1317	Romain Leclercq 	Belgium	1988-01-01
1318	Kryštof Černý 	Czech Republic	1988-04-21
1319	Santeri Lahtinen 	Finland	1992-10-13
1320	Maurizio Carioti 	Italy	
1321	Azamat Turganbayev 	Kazakhstan	
1322	Anton Vasilyev 	Russian Federation	1988-10-10
1323	Faton Rekathati 	Sweden	1988-04-23
1324	Daniel Scott Scherlong 	United States	1987-05-09
1325	Chad Jones 	United States	
1326	Ryan Visbeck 	United States	1992-09-24
1327	Aaron Deir 	Panama	1988-03-13
1328	"Park, Sung Min "	Canada	1986-04-21
1329	Austin King 	United States	
1330	Tim Olsson 	Sweden	1990-01-28
1331	Sebastian Pesic 	Sweden	1985-06-12
1332	"Woo, Min Gyu "	"Korea, Republic of"	1988-06-22
1333	"Jo, Min Ho "	"Korea, Republic of"	1991-05-25
1334	Michael Yabut 	United States	1993-09-04
1335	Paulo Vizcarra 	Peru	1986-07-04
1336	Lok-Yin Kwong 	United States	1993-05-18
1337	"Li, Xiaofeng "	China	1985-03-27
1338	"Lu, Weiliang "	China	1987-02-13
1339	"Kim, Sung Sik "	"Korea, Republic of"	1986-07-20
1340	"Wang, Xu Wen "	China	1989-09-14
1341	Olav Undheim 	Norway	1986-07-11
1342	Yoan Merlo 	France	1985-03-20
1343	Mykhaylo Novopashyn 	Ukraine	1986-08-05
1344	Dennis Chan 	United States	1983-08-02
1345	"Cho, Dae Hui "	"Korea, Republic of"	1985-02-21
1346	Hao Su 	China	1983-08-07
1347	"Hwang, Tae-min "	"Korea, Republic of"	1983-09-06
1348	Zdravko Georgiev 	Bulgaria	1983-09-10
1349	Bin Guo 	China	
1350	Sorin Popescu 	Romania	
1351	"Chen, Hao Zhou "	China	
1352	"Sun, Li Wei "	China	1987-06-17
1353	Alborz Haidarian 	Sweden	1985-09-01
1354	Andrey Sobolev 	Russian Federation	1988-08-07
1355	Ru Ao Dan 	China	
1356	Fredrik Johansson 	Sweden	1986-09-26
1357	"Chun, Jung Hee "	"Korea, Republic of"	1984-02-01
1358	"Jang, Yong Seok "	"Korea, Republic of"	1988-04-26
1359	"Kim, Dong Moon "	"Korea, Republic of"	1984-10-15
1360	Gediminas Rimkus 	Lithuania	1989-03-23
1361	Björn Ödman 	Sweden	1986-10-31
1362	Zhengkun Guo 	China	1983-04-12
1363	Raphaël Benhakoun 	France	1987-01-26
1364	Matthew Anderson 	United States	1986-02-18
1365	Dimitar Aleksandrov 	Bulgaria	1984-04-23
1366	Hao Wang 	China	
1367	"Noh, Jae Wook "	"Korea, Republic of"	1986-08-19
1368	"Liu, Hong Liang "	China	
1369	Christophe Laporte 	France	1989-12-06
1370	Carlos Armendariz 	United States	
1371	Liu Jin 	China	
1372	Antoine Zadri 	France	1986-02-20
1373	"Hwang, Yeon Taek "	"Korea, Republic of"	
1374	Lou Gentet 	France	1982-06-22
1375	Jeff Zhang 	United States	1987-09-17
1376	"Kang, Seo Woo "	"Korea, Republic of"	1988-01-20
1377	Ivica Markovic 	Croatia	1982-11-18
1378	Andrew James Regendantz 	Germany	1986-03-06
1379	Franklin Pearsall 	United States	
1380	Andrey Guldyashov 	Russian Federation	1992-05-03
1381	Jesper Johansson 	Sweden	1990-01-18
